archivo,contexto,enunciado,datos,objetivo,exp_obj,restricciones,exp_rest,dat,validacion,preguntas,estado
modulos/07_gep_expansion_generacion/modelos/01_modelo_gep_estatico_capacidad.md,True,True,True,True,True,True,True,True,True,True,OK
modulos/07_gep_expansion_generacion/modelos/02_modelo_gep_bloques_carga.md,True,True,True,True,True,True,True,True,True,True,OK
modulos/07_gep_expansion_generacion/modelos/03_modelo_gep_multianual.md,True,True,True,True,True,True,True,True,True,True,OK
modulos/06_tnep_expansion_transmision/modelos/01_modelo_transporte_expansion_transmision.md,True,True,True,True,True,True,True,True,True,True,OK
modulos/06_tnep_expansion_transmision/modelos/02_modelo_constructivo_refuerzo_red.md,True,True,True,True,True,True,True,True,True,True,OK
modulos/06_tnep_expansion_transmision/modelos/03_modelo_dc_expansion_transmision.md,True,True,True,True,True,True,True,True,True,True,OK
modulos/06_tnep_expansion_transmision/modelos/04_modelo_hibrido_expansion_transmision.md,True,True,True,True,True,True,True,True,True,True,OK
modulos/06_tnep_expansion_transmision/modelos/05_modelo_lineal_disyuntivo_expansion_transmision.md,True,True,True,True,True,True,True,True,True,True,OK
modulos/06_tnep_expansion_transmision/modelos/06_modelo_multietapa_expansion_transmision.md,True,True,True,True,True,True,True,True,True,True,OK
modulos/05_proyeccion_demanda/modelos/01_exploracion_demanda.md,True,True,True,True,True,True,True,True,True,True,OK
modulos/05_proyeccion_demanda/modelos/02_regresion_demanda.md,True,True,True,True,True,True,True,True,True,True,OK
modulos/05_proyeccion_demanda/modelos/03_series_tiempo.md,True,True,True,True,True,True,True,True,True,True,OK
modulos/05_proyeccion_demanda/modelos/04_escenarios_exportacion.md,True,True,True,True,True,True,True,True,True,True,OK
modulos/04_opf_flujo_optimo_potencia/modelos/01_flujo_optimo_potencia_dc.md,True,True,True,True,True,True,True,True,True,True,OK
modulos/04_opf_flujo_optimo_potencia/modelos/02_flujo_optimo_potencia_ac.md,True,True,True,True,True,True,True,True,True,True,OK
modulos/03_operacion_corto_plazo/modelos/01_despacho_economico_uninodal.md,True,True,True,True,True,True,True,True,True,True,OK
modulos/03_operacion_corto_plazo/modelos/02_despacho_economico_por_tramos.md,True,True,True,True,True,True,True,True,True,True,OK
modulos/03_operacion_corto_plazo/modelos/03_despacho_con_perdidas.md,True,True,True,True,True,True,True,True,True,True,OK
modulos/03_operacion_corto_plazo/modelos/04_compromiso_unidades_termicas.md,True,True,True,True,True,True,True,True,True,True,OK
modulos/03_operacion_corto_plazo/modelos/05_despacho_hidrotermico_simple.md,True,True,True,True,True,True,True,True,True,True,OK
modulos/03_operacion_corto_plazo/modelos/06_operacion_cascada_hidroelectrica.md,True,True,True,True,True,True,True,True,True,True,OK
modulos/01_fundamentos_optimizacion/ejemplos/01_fabrica_pintura.md,True,True,True,True,True,True,True,True,True,True,OK
modulos/01_fundamentos_optimizacion/ejemplos/02_produccion_acero.md,True,True,True,True,True,True,True,True,True,True,OK
modulos/01_fundamentos_optimizacion/ejemplos/03_transporte_energia.md,True,True,True,True,True,True,True,True,True,True,OK
modulos/01_fundamentos_optimizacion/ejemplos/04_localizacion_antenas.md,True,True,True,True,True,True,True,True,True,True,OK
modulos/01_fundamentos_optimizacion/ejemplos/05_forma_matricial.md,True,True,True,True,True,True,True,True,True,True,OK
